abs_page_link,abstract,all_categories,arxiv_id,author,authors,comment,created_at,journal_ref,last_author,pdf_link,primary_category,published,title,updated_at
http://arxiv.org/abs/1901.00863v1,"Searching for distinctive signatures, which characterize different formation
channels of binary black holes (BBHs), is a crucial step towards the
interpretation of current and future gravitational wave detections. Here, we
investigate the demography of merging BBHs in young star clusters (SCs), which
are the nursery of massive stars. We performed $4\times{} 10^3$ N-body
simulations of SCs with metallicity $Z=0.002$, initial binary fraction $0.4$
and fractal initial conditions, to mimic the clumpiness of star forming
regions. Our simulations include a novel population-synthesis approach based on
the code MOBSE. We find that SC dynamics does not affect the merger rate
significantly, but leaves a strong fingerprint on the properties of merging
BBHs. More than 50 % of merging BBHs in young SCs form by dynamical exchanges
in the first few Myr. Dynamically formed merging BBHs are significantly heavier
than merging BBHs in isolated binaries: merging BBHs with total mass up to
$\sim{}120$ M$_\odot$ form in young SCs, while the maximum total mass of
merging BBHs in isolated binaries with the same metallicity is only $\sim{}70$
M$_\odot$. Merging BBHs born via dynamical exchanges tend to have smaller mass
ratios than BBHs in isolated binaries. Furthermore, SC dynamics speeds up the
merger: the delay time between star formation and coalescence is significantly
shorter in young SCs. In our simulations, massive systems such as GW170729 form
only via dynamical exchanges. Finally $\sim{}2$ % of merging BBHs in young SCs
have mass in the pair-instability mass gap ($\sim{}60-120$ M$_\odot$). This
represents a unique fingerprint of merging BBHs in SCs.","astro-ph.HE, astro-ph.SR",1901.00863v1,Francesco Haardt,"Ugo N. Di Carlo, Nicola Giacobbo, Michela Mapelli, Mario Pasquato, Mario Spera, Long Wang, Francesco Haardt","15 pages, 11 figures, 5 tables",2019-01-07 20:03:13,No journal ref found,Francesco Haardt,http://arxiv.org/pdf/1901.00863v1,astro-ph.HE,2019-01-03T19:00:00Z,Merging black holes in young star clusters,2019-01-07 20:03:13
http://arxiv.org/abs/1901.00864v1,"Star formation is observed to be strongly correlated to dense regions of
molecular gas. Although the exact nature of the link between star formation and
molecular hydrogen is still unclear, some have suggested that shielding of
dense gas by dust grains is the key factor enabling the presence of both. We
present a sub-grid model for use in galaxy formation simulations in which star
formation is linked explicitly to local dust shielding. We developed and tested
our shielding and star formation models using smoothed particle hydrodynamic
simulations of solar and sub-solar metallicity isolated Milky Way-mass disk
galaxies. We compared our dust shielding-based star formation model to two
other star formation recipes that used gas temperature and H$_2$ fraction as
star formation criteria. We further followed the evolution of a dwarf galaxy
within a cosmological context using both the shielding and H$_2$-based star
formation models. We find that the shielding-based model allows for star
formation at higher temperatures and lower densities than a model in which star
formation is tied directly to H$_2$ abundance, as requiring H$_2$ formation
leads the gas to undergo additional gravitational collapse before star
formation. However, the resulting galaxies are very similar for both the
shielding and H$_2$-based star formation models, and both models reproduce the
resolved Kennicutt-Schmidt law. Therefore, both star formation models appear
viable in the context of galaxy formation simulations.",astro-ph.GA,1901.00864v1,Tom Quinn (University of Washington),"Lindsey Byrne, Charlotte Christensen, Marios Tsekitsidis, Alyson Brooks, Tom Quinn","13 pages, 12 figures",2019-01-07 20:03:14,No journal ref found,Tom Quinn (University of Washington),http://arxiv.org/pdf/1901.00864v1,astro-ph.GA,2019-01-03T19:00:00Z,Implementing Dust Shielding as a Criteria for Star Formation,2019-01-07 20:03:14
http://arxiv.org/abs/1901.00865v1,"We study the properties of the local transverse deviations of magnetic field
lines at a fixed moment in time. Those deviations ""evolve"" smoothly in a plane
normal to the field-line direction as one moves that plane along the field
line. Since the evolution can be described by a planar flow in the normal
plane, we derive most of our results in the context of a toy model for planar
fluid flow. We then generalize our results to include the effects of field-line
curvature. We show that the type of flow is determined by the two non-zero
eigenvalues of the gradient of the normalized magnetic field. The eigenvalue
difference quantifies the local rate of squeezing or coiling of neighboring
field lines, which we relate to standard notions of fluid vorticity and shear.
The resulting squeezing rate can be used in the detection of null points,
hyperbolic flux tubes and current sheets. Once integrated along field lines,
that rate gives a squeeze factor, which is an approximation to the squashing
factor, which is usually employed in locating quasi-separatrix layers (QSLs),
which are possible sites for magnetic reconnection. Unlike the squeeze factor,
the squashing factor can miss QSLs for which field lines are squeezed and then
unsqueezed. In that regard, the squeeze factor is a better proxy for locating
QSLs than the squashing factor. In another application of our analysis, we
construct an approximation to the local rate of twist of neighboring field
lines, which we refer to as the coiling rate. That rate can be integrated along
a field line to give a coiling number, $\mathrm{N_c}$. We show that unlike the
standard local twist number, $\mathrm{N_c}$ gives an unbiased approximation to
the number of twists neighboring field lines make around one another.
$\mathrm{N_c}$ can be useful for the study of flux rope instabilities, such as
the kink instability, and can be used in the detection of flux ropes.","astro-ph.SR, astro-ph.HE",1901.00865v1,Antonia Savcheva,"Svetlin Tassev, Antonia Savcheva","48 pages, 6 figures",2019-01-07 20:03:16,No journal ref found,Antonia Savcheva,http://arxiv.org/pdf/1901.00865v1,astro-ph.SR,2019-01-03T19:00:00Z,"Coiling and Squeezing: Properties of the Local Transverse Deviations of
  Magnetic Field Lines",2019-01-07 20:03:16
http://arxiv.org/abs/1901.00866v1,"SDSS-IV MaNGA (Mapping Nearby Galaxies at Apache Point Observatory) is the
largest integral-field spectroscopy survey to date, aiming to observe a
statistically representative sample of 10,000 low-redshift galaxies. In this
paper we study the reliability of the emission-line fluxes and kinematic
properties derived by the MaNGA Data Analysis Pipeline (DAP). We describe the
algorithmic choices made in the DAP with regards to measuring emission-line
properties, and the effect of our adopted strategy of simultaneously fitting
the continuum and line emission. The effect of random errors are quantified by
studying various fit-quality metrics, idealized recovery simulations and repeat
observations. This analysis demonstrates that the emission lines are well-fit
in the vast majority of the MaNGA dataset and the derived fluxes and errors are
statistically robust. The systematic uncertainty on emission-line properties
introduced by the choice of continuum templates is also discussed. In
particular, we test the effect of using different stellar libraries and simple
stellar-population models on the derived emission-line fluxes and the effect of
introducing different tying prescriptions for the emission-line kinematics. We
show that these effects can generate large ($>$ 0.2 dex) discrepancies at low
signal-to-noise and for lines with low equivalent width (EW); however, the
combined effect is noticeable even for H$\alpha$ EW $>$ 6~\AA. We provide
suggestions for optimal use of the data provided by SDSS data release 15 and
propose refinements on the DAP for future MaNGA data releases.",astro-ph.GA,1901.00866v1,Sebastián F. Sánchez,"Francesco Belfiore, Kyle B. Westfall, Adam Schaefer, Michele Cappellari, Xihan Ji, Matthew A. Bershady, Christy Tremonti, David R. Law, Renbin Yan, Kevin Bundy, Shravan Shetty, Niv Drory, Daniel Thomas, Eric Emsellem, Sebastián F. Sánchez","31 pages, 23 figures; submitted to AJ; see also the overview of the
  MaNGA DAP presented by Westfall et al",2019-01-07 20:03:20,No journal ref found,Sebastián F. Sánchez,http://arxiv.org/pdf/1901.00866v1,astro-ph.GA,2019-01-03T19:00:01Z,"The Data Analysis Pipeline for the SDSS-IV MaNGA IFU Galaxy Survey:
  Emission-Line Modeling",2019-01-07 20:03:20
http://arxiv.org/abs/1901.00867v1,"It is well known that the Galactic bar drives a gas inflow into the Central
Molecular Zone, which fuels star formation, accretion onto the central
super-massive black hole, and large-scale outflows. This inflow happens mostly
through two symmetrical dust-lanes, similar to those often seen in external
barred galaxies. Here we use the fact that the Milky Way dust-lanes have been
previously identified in $^{12}$CO datacubes and a simple geometrical model to
derive the first observational determination of the mass inflow rate into the
Central Molecular Zone. We find that the time-averaged inflow rate along the
near-side dust lane is $1.2^{+0.7}_{-0.8}\, \rm M_\odot yr^{-1}$ and along the
far-side dust lane is $1.5^{+0.9}_{-1.0}\, \rm M_\odot yr^{-1}$, which gives a
total inflow of $2.7^{+1.5}_{-1.7}\, \rm M_\odot yr^{-1}$. We also provide the
time series of the inflow rate $\dot{M}$ for the future few Myr. The latter
shows that the inflow rate is variable with time, supporting a scenario of
episodic accretion onto the Central Molecular Zone.",astro-ph.GA,1901.00867v1,Ashley T. Barnes,"Mattia C. Sormani, Ashley T. Barnes",Accepted for publication in MNRAS,2019-01-07 20:03:21,No journal ref found,Ashley T. Barnes,http://arxiv.org/pdf/1901.00867v1,astro-ph.GA,2019-01-03T19:00:03Z,"Mass inflow rate into the Central Molecular Zone: observational
  determination and evidence of episodic accretion",2019-01-07 20:03:21
http://arxiv.org/abs/1901.00868v1,"The neutron star merger, GW170817, was followed by an optical-infrared
transient (a kilonova) which indicated that a substantial ejection of mass at
trans-relativistic velocities occurred during the merger. Modeling of the
kilonova is able to constrain the kinetic energy of the ejecta and its
characteristic velocity, but not the high-velocity distribution of the ejecta.
Yet, this distribution contains crucial information on the merger dynamics. In
this work, we assume a power-law distribution of the form
$E(>\beta\Gamma)\propto(\beta\Gamma)^{-\alpha}$ for the energy of the kilonova
ejecta and calculate the non-thermal signatures produced by the interaction of
the ejecta with the ambient gas. We find that ejecta with minimum velocity
$\beta_0\simeq 0.3$ and energy $E\sim 10^{51}$ erg, as inferred from kilonova
modeling, has a detectable radio, and possibly X-ray, afterglow for a broad
range of parameter space. This afterglow component is expected to dominate the
observed emission on a timescale of a few years post merger and peak around a
decade later. Its light curve can be used to determine properties of the
kilonova ejecta and in particular the ejecta velocity distribution $\alpha$,
the minimum velocity $\beta_0$ and its total kinetic energy $E$. We also
predict that an afterglow rebrightening, that is associated with the kilonova
component, will be accompanied by a shift of the centroid of the radio source
towards the initial position of the explosion.",astro-ph.HE,1901.00868v1,Paz Beniamini,"Adithan Kathirgamaraju, Dimitrios Giannios, Paz Beniamini","8 pages, 5 figures, submitted to MNRAS",2019-01-07 20:03:23,No journal ref found,Paz Beniamini,http://arxiv.org/pdf/1901.00868v1,astro-ph.HE,2019-01-03T19:00:04Z,Observable Features of GW170817 Kilonova Afterglow,2019-01-07 20:03:23
http://arxiv.org/abs/1901.00869v1,"Gravitational wave detection requires an in-depth understanding of the
physical properties of gravitational wave signals, and the noise from which
they are extracted. Understanding the statistical properties of noise is a
complex endeavor, particularly in realistic detection scenarios. In this
article we demonstrate that deep learning can handle the non-Gaussian and
non-stationary nature of gravitational wave data, and showcase its application
to denoise the gravitational wave signals generated by the binary black hole
mergers GW150914, GW170104, GW170608 and GW170814 from advanced LIGO noise. To
exhibit the accuracy of this methodology, we compute the overlap between the
time-series signals produced by our denoising algorithm, and the numerical
relativity templates that are expected to describe these gravitational wave
sources, finding overlaps greater than 0.99. We discuss the implications of
these results for the characterization of gravitational wave signals.","gr-qc, astro-ph.IM, physics.data-an, 68T10, I.2; J.2",1901.00869v1,E. A. Huerta,"Wei Wei, E. A. Huerta","8 pages, 5 figures",2019-01-07 20:03:24,No journal ref found,E. A. Huerta,http://arxiv.org/pdf/1901.00869v1,gr-qc,2019-01-03T19:00:05Z,"Gravitational Wave Denoising of Binary Black Hole Mergers with Deep
  Learning",2019-01-07 20:03:24
http://arxiv.org/abs/1901.00870v1,"We carry out non-perturbative calculations of the single-particle excitation
spectrum in strongly interacting neutron matter. These are microscopic quantum
Monte Carlo computations of many-neutron energies at different densities as
well as several excited states of the single particle. As input, we employ both
phenomenological and chiral two- and three-nucleon interactions. We use the
single-particle spectrum to extract the effective mass in neutron matter. With
a view to systematizing the error involved in this extraction, we carefully
assess finite-size effects on the quasiparticle dispersion relation. We find an
effective-mass ratio that drops from 1 as the density is increased. We conclude
by connecting our results with the physics of ultracold gases as well as with
energy-density functional theories of nuclei and neutron-star matter.","nucl-th, astro-ph.HE, cond-mat.quant-gas",1901.00870v1,Alexandros Gezerlis,"Nawar Ismail, Mateusz Buraczynski, Alexandros Gezerlis","5+ pages, 3 figures",2019-01-07 20:03:25,No journal ref found,Alexandros Gezerlis,http://arxiv.org/pdf/1901.00870v1,nucl-th,2019-01-03T19:00:09Z,Non-perturbative Extraction of the Effective Mass in Neutron Matter,2019-01-07 20:03:25
http://arxiv.org/abs/1901.00871v1,"We present a systematic study of the most luminous ($M_{\mathrm{IR}}$ [Vega
magnitudes] brighter than $-14$) infrared (IR) transients discovered by the
SPitzer InfraRed Intensive Transients Survey (SPIRITS) between 2014-2018 in
nearby galaxies ($D < 35$ Mpc). The sample consists of 9 events that span peak
IR luminosities of $M_{[4.5],\mathrm{peak}}$ between $-14$ and $-18.2$, show IR
colors between $0.2 < ([3.6] - [4.5]) < 3.0$, and fade on timescales between
$55 < t_{\mathrm{fade}} < 480$ days. The two reddest events ($A_V > 12$) show
multiple, luminous IR outbursts over several years and have directly detected,
massive progenitors in archival imaging. With analyses of extensive,
multi-wavelength follow-up, we infer the following likely classifications: 5
obscured core-collapse supernovae (CCSNe), 2 erupting massive stars, 1 massive
stellar merger, and 1 possible electron capture SN. We define a control sample
of all optically discovered transients recovered in SPIRITS galaxies and
satisfying the same selection criteria. The control sample consists of 8 CCSNe
and 1 Type Iax SN. We find that 7 of the 13 CCSNe in the SPIRITS sample have
lower bounds on extinction of $2 < A_V < 8$, suggesting that a large population
of CCSNe is heavily obscured. We estimate a nominal fraction of CCSNe in nearby
galaxies that are missed by optical surveys of $38.5^{+26.0}_{-21.9}$% (90%
confidence). This may resolve long-standing discrepancies between measurements
of the CCSN rate and the cosmic star-formation rate.","astro-ph.HE, astro-ph.GA",1901.00871v1,Robert E. Williams (UC Santa Cruz),"Jacob E. Jencson, Mansi M. Kasliwal, Scott M. Adams, Howard E. Bond, Kishalay De, Joel Johansson, Viraj Karambelkar, Ryan M. Lau, Samaporn Tinyanont, Stuart D. Ryder, Ann Marie Cody, Frank J. Masci, John Bally, Nadia Blagorodnova, Sergio Castellón, Christoffer Fremling, Robert D. Gehrz, George Helou, Charles D. Kilpatrick, Peter A. Milne, Nidia Morrell, Daniel A. Perley, Mark Phillips, Nathan Smith, Schuyler D. van Dyk, Robert E. Williams","42 pages, 16 figures",2019-01-07 20:03:28,No journal ref found,Robert E. Williams (UC Santa Cruz),http://arxiv.org/pdf/1901.00871v1,astro-ph.HE,2019-01-03T19:00:09Z,"The SPIRITS sample of Luminous Infrared Transients: Uncovering Hidden
  Supernovae and Dusty Stellar Outbursts in Nearby Galaxies",2019-01-07 20:03:28
http://arxiv.org/abs/1901.00872v1,"Unlike the ordinary supernovae (SNe) some of which are hydrogen and helium
deficient (called Type Ic SNe), broad-lined Type Ic SNe (SNe Ic-bl) are very
energetic events, and all SNe coincident with bona fide long duration gamma-ray
bursts (LGRBs) are of Type Ic-bl. Understanding the progenitors and the
mechanism driving SN Ic-bl explosions vs those of their SNe Ic cousins is key
to understanding the SN-GRB relationship and jet production in massive stars.
Here we present the largest set of host-galaxy spectra of 28 SNe Ic and 14 SN
Ic-bl, all discovered before 2013 by the same untargeted survey, namely the
Palomar Transient Factory (PTF). We carefully measure their gas-phase
metallicities, stellar masses (M*s) and star-formation rates (SFRs) by taking
into account recent progress in the metallicity field and propagating
uncertainties correctly. We further re-analyze the hosts of 10 literature
SN-GRBs using the same methods and compare them to our PTF SN hosts with the
goal of constraining their progenitors from their local environments by
conducting a thorough statistical comparison, including upper limits. We find
that the metallicities, SFRs and M*s of our PTF SN Ic-bl hosts are
statistically comparable to those of SN-GRBs, but significantly lower than
those of the PTF SNe Ic. The mass-metallicity relations as defined by the SNe
Ic-bl and SN-GRBs are not significantly different from the same relations as
defined by the SDSS galaxies, in contrast to claims by earlier works. Our
findings point towards low metallicity as a crucial ingredient for SN Ic-bl and
SN-GRB production since we are able to break the degeneracy between high SFR
and low metallicity. We suggest that the PTF SNe Ic-bl may have produced jets
that were choked inside the star or were able break out of the star as unseen
low-luminosity or off-axis GRBs.","astro-ph.HE, astro-ph.GA",1901.00872v1,Weikang Zhen,"Maryam Modjaz, Federica B. Bianco, Magdalena Siwek, Shan Huang, Daniel A. Perley, David Fierroz, Yu-Qian Liu, Iair Arcavi, Avishay Gal-Yam, Nadia Blagorodnova, Bradley S. Cenko, Alexei V. Filippenko, Mansi M. Kasliwal, S. R. Kulkarni, Steve Schulze, Kirsty Taggart, Weikang Zhen","47 pages, 8 figures, submitted to ApJ in Nov 2018",2019-01-07 20:03:32,No journal ref found,Weikang Zhen,http://arxiv.org/pdf/1901.00872v1,astro-ph.HE,2019-01-03T19:00:12Z,"Host Galaxies of Type Ic and Broad-lined Type Ic Supernovae from the
  Palomar Transient Factory: Implication for Jet Production",2019-01-07 20:03:32
